"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 26 23:27:45 IST 2023","Fri May 26 23:28:02 IST 2023","17008","","Testing the Khan Academy Application","","","","Tap on “Explore” again and Tap on “Life Skills”",""
"passed","Fri May 26 23:27:24 IST 2023","Fri May 26 23:27:32 IST 2023","7585","","Testing the Khan Academy Application","","","","Go back to Computer Science page",""
"passed","Fri May 26 23:27:35 IST 2023","Fri May 26 23:27:45 IST 2023","10018","","Testing the Khan Academy Application","","","","Clear all bookmarks",""
"passed","Fri May 26 23:31:05 IST 2023","Fri May 26 23:31:28 IST 2023","23032","","Testing the Khan Academy Application","","","","Select the new language for app",""
"passed","Fri May 26 23:30:31 IST 2023","Fri May 26 23:31:05 IST 2023","34110","","Testing the Khan Academy Application","","","","Signup to the Application",""
"passed","Fri May 26 23:27:32 IST 2023","Fri May 26 23:27:35 IST 2023","3147","","Testing the Khan Academy Application","","","","Tap on “Bookmarks” and verify all the bookmarks",""
"passed","Fri May 26 23:28:02 IST 2023","Fri May 26 23:28:42 IST 2023","39509","","Testing the Khan Academy Application","","","","Verify the last seen topic name under “Recent Lessons”",""
"passed","Fri May 26 23:28:42 IST 2023","Fri May 26 23:30:31 IST 2023","108942","","Testing the Khan Academy Application","","","","Testing the Search Functionality",""
"passed","Fri May 26 23:26:48 IST 2023","Fri May 26 23:27:04 IST 2023","15441","","Testing the Khan Academy Application","","","","Explore the Cryptography Section",""
"passed","Fri May 26 23:31:28 IST 2023","Fri May 26 23:31:28 IST 2023","3","","Testing the Khan Academy Application","","","","Close the application",""
"passed","Fri May 26 23:27:04 IST 2023","Fri May 26 23:27:24 IST 2023","20602","","Testing the Khan Academy Application","","","","Tap on Bookmark icon for 3 Topics",""
